race_id,safety_car_count,virtual_safety_car_count,red_flag_count,yellow_flag_count,double_yellow_count,black_flag_count,track_limits_count,investigation_count,penalty_count,incident_count,race_control_messages_count,race_control_data_available,total_dnf_count,classified_driver_count,race_disruption_score
2012_11,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1
2012_12,0,0,0,0,0,0,0,0,0,6,0,0,6,18,12
2012_13,0,0,0,0,0,0,0,0,0,0,0,0,5,19,5
2012_14,0,0,0,0,0,0,0,0,0,3,0,0,6,18,9
2012_15,0,0,0,0,0,0,0,0,0,3,0,0,5,19,8
2012_16,0,0,0,0,0,0,0,0,0,3,0,0,4,20,7
2012_17,0,0,0,0,0,0,0,0,0,2,0,0,3,21,5
2012_18,0,0,0,0,0,0,0,0,0,5,0,0,7,17,12
2012_19,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2
2012_20,0,0,0,0,0,0,0,0,0,6,0,0,6,18,12
2013_01,0,0,0,0,0,0,0,0,0,1,0,0,4,18,5
2013_02,0,0,0,0,0,0,0,0,0,1,0,0,6,16,7
2013_03,0,0,0,0,0,0,0,0,0,2,0,0,4,18,6
2013_04,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1
2013_05,0,0,0,0,0,0,0,0,0,1,0,0,3,19,4
2013_06,0,0,0,0,0,0,0,0,0,4,0,0,7,15,11
2013_07,0,0,0,0,0,0,0,0,0,3,0,0,3,19,6
2013_08,0,0,0,0,0,0,0,0,0,0,0,0,4,18,4
2013_09,0,0,0,0,0,0,0,0,0,1,0,0,3,19,4
2013_10,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
2013_11,0,0,0,0,0,0,0,0,0,1,0,0,3,19,4
2013_12,0,0,0,0,0,0,0,0,0,1,0,0,2,20,3
2013_13,0,0,0,0,0,0,0,0,0,2,0,0,4,18,6
2013_14,0,0,0,0,0,0,0,0,0,3,0,0,3,19,6
2013_15,0,0,0,0,0,0,0,0,0,2,0,0,3,19,5
2013_16,0,0,0,0,0,0,0,0,0,1,0,0,4,18,5
2013_17,0,0,0,0,0,0,0,0,0,1,0,0,1,21,2
2013_18,0,0,0,0,0,0,0,0,0,1,0,0,1,21,2
2013_19,0,0,0,0,0,0,0,0,0,1,0,0,3,19,4
2014_01,0,0,0,0,0,0,0,0,0,2,0,0,8,14,10
2014_02,0,0,0,0,0,0,0,0,0,0,0,0,7,15,7
2014_03,0,0,0,0,0,0,0,0,0,2,0,0,6,16,8
2014_04,0,0,0,0,0,0,0,0,0,0,0,0,2,20,2
2014_05,0,0,0,0,0,0,0,0,0,0,0,0,2,20,2
2014_06,0,0,0,0,0,0,0,0,0,3,0,0,8,14,11
2014_07,0,0,0,0,0,0,0,0,0,4,0,0,11,11,15
2014_08,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3
2014_09,0,0,0,0,0,0,0,0,0,3,0,0,5,17,8
2014_10,0,0,0,0,0,0,0,0,0,1,0,0,4,18,5
2014_11,0,0,0,0,0,0,0,0,0,4,0,0,6,16,10
2014_12,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
2014_13,0,0,0,0,0,0,0,0,0,1,0,0,2,20,3
2014_14,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
2014_15,0,0,0,0,0,0,0,0,0,2,0,0,3,19,5
2014_16,0,0,0,0,0,0,0,0,0,0,0,0,2,19,2
2014_17,0,0,0,0,0,0,0,0,0,2,0,0,3,15,5
2014_18,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1
2014_19,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2015_01,0,0,0,0,0,0,0,0,0,1,0,0,7,11,8
2015_02,0,0,0,0,0,0,0,0,0,1,0,0,5,15,6
2015_03,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2015_04,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2015_05,0,0,0,0,0,0,0,0,0,1,0,0,2,18,3
2015_06,0,0,0,0,0,0,0,0,0,1,0,0,3,17,4
2015_07,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3
2015_08,0,0,0,0,0,0,0,0,0,2,0,0,6,14,8
2015_09,0,0,0,0,0,0,0,0,0,4,0,0,7,13,11
2015_10,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4
2015_11,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6
2015_12,0,0,0,0,0,0,0,0,0,2,0,0,2,18,4
2015_13,0,0,0,0,0,0,0,0,0,1,0,0,6,14,7
