race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_10,sutil,3,23.282638888888894,14.565,32.449,10,77.68033333333334,14.666666666666666
2011_10,rosberg,3,23.09161111111111,20.896,24.722,9,68.71533333333333,11.333333333333334
2011_10,michael_schumacher,3,25.60608333333333,21.168,31.751,10,84.68233333333333,19.666666666666668
2011_10,kobayashi,3,25.39016666666667,20.545,31.551,6,50.78033333333334,6.666666666666667
2011_10,petrov,3,23.32183333333333,21.105,24.88,7,53.79666666666666,7.0
2011_10,perez,3,23.72075,21.939,25.619,3,36.471999999999994,4.5
2011_10,alguersuari,3,23.467555555555553,21.103,26.045,7,55.184666666666665,4.0
2011_10,resta,3,25.823333333333334,14.538,45.291,10,84.868,15.666666666666666
2011_10,maldonado,3,23.9422,21.301,31.701,11,88.82766666666667,19.0
2011_10,buemi,3,23.71902777777778,20.46,26.561,9,70.93466666666667,13.333333333333334
2011_10,kovalainen,3,33.185,21.126,44.037,4,55.518,11.0
2011_10,glock,3,23.968166666666665,21.9,25.416,6,47.93633333333333,4.666666666666667
2011_10,ambrosio,3,24.69696666666667,14.538,30.714,9,74.30333333333334,12.333333333333334
2011_10,ricciardo,1,26.407,25.872,26.942,2,52.814,10.0
2011_10,chandhok,0,0.0,0.0,0.0,0,0.0,0.0
2011_10,liuzzi,3,27.006555555555554,22.235,34.897,8,72.32833333333333,15.666666666666666
2011_10,button,3,22.77594444444445,14.501,31.718,12,91.839,16.0
2011_10,barrichello,3,23.391000000000002,21.163,25.86,9,69.88,12.333333333333334
2011_10,heidfeld,3,23.256833333333336,21.472,24.716,7,53.832666666666675,8.333333333333334
2011_11,button,3,21.92288888888889,20.325,25.07,7,51.800666666666665,8.666666666666666
2011_11,vettel,3,22.452111111111112,20.11,31.558,9,67.35633333333332,15.0
2011_11,alonso,3,21.846444444444444,19.975,26.566,9,65.53933333333333,14.666666666666666
2011_11,hamilton,3,21.774777777777775,20.212,25.1,9,65.32433333333333,13.666666666666666
2011_11,webber,3,21.829111111111114,20.319,25.49,9,65.48733333333332,14.333333333333334
2011_11,massa,3,22.268555555555555,20.185,25.537,9,66.80566666666665,18.0
2011_11,resta,3,26.127166666666664,20.567,45.291,8,70.67966666666666,15.333333333333334
2011_11,buemi,3,23.500777777777774,20.46,27.301,7,53.97666666666667,11.333333333333334
2011_11,rosberg,3,22.28316666666667,20.047,24.722,8,58.66266666666667,13.0
2011_11,alguersuari,3,22.343166666666665,21.062,24.719,6,44.68633333333333,3.3333333333333335
2011_11,kobayashi,3,24.364166666666666,20.545,31.551,6,48.72833333333333,7.0
2011_11,petrov,3,22.331833333333332,20.572,24.88,7,51.81666666666666,7.333333333333333
2011_11,barrichello,3,23.072249999999997,21.163,25.86,5,56.763,10.0
2011_11,sutil,3,22.403222222222222,20.286,27.24,8,60.25666666666668,11.0
2011_11,perez,3,23.962499999999995,21.645,27.247,5,40.611999999999995,7.666666666666667
2011_11,maldonado,3,22.551333333333332,21.057,26.238,8,60.54433333333333,13.666666666666666
2011_11,glock,3,22.968166666666665,21.252,25.416,6,45.93633333333333,6.0
2011_11,ricciardo,2,24.7965,22.319,26.942,4,49.593,11.0
2011_11,ambrosio,3,23.7855,20.762,28.742,6,47.571,8.666666666666666
2011_11,liuzzi,3,23.758444444444446,22.048,26.643,6,47.88533333333333,11.0
2011_11,kovalainen,3,21.98225,21.126,23.241,5,55.131,14.5
2011_11,michael_schumacher,3,24.519444444444446,19.93,31.751,9,73.55833333333334,20.333333333333332
