race_id,driver_id,dnf_previous_5,dns_previous_5,mechanical_dnf_previous_5,accident_dnf_previous_5,disqualified_previous_5,finish_rate_previous_5,reliability_score
2011_19,kobayashi,1,0,0,1,0,0.8,0.75
2011_19,petrov,1,0,0,1,0,0.8,0.75
2011_19,alguersuari,1,0,0,1,0,0.8,0.75
2011_19,buemi,3,0,2,0,0,0.4,0.2
2011_19,perez,0,0,0,0,0,1.0,1.0
2011_19,barrichello,0,0,0,0,0,1.0,1.0
2011_19,michael_schumacher,2,0,0,2,0,0.6,0.5
2011_19,kovalainen,0,0,0,0,0,1.0,1.0
2011_19,bruno_senna,0,0,0,0,0,1.0,1.0
2011_19,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_19,ambrosio,1,0,1,0,0,0.8,0.7000000000000001
2011_19,ricciardo,1,0,1,0,0,0.8,0.7000000000000001
2011_19,liuzzi,1,0,0,1,0,0.8,0.75
2011_19,hamilton,0,0,0,0,0,1.0,1.0
2011_19,maldonado,2,0,2,0,0,0.6,0.39999999999999997
2011_19,glock,2,0,0,2,0,0.6,0.5
2012_01,button,0,0,0,0,0,1.0,1.0
2012_01,vettel,1,0,0,0,0,0.8,0.8
2012_01,hamilton,1,0,1,0,0,0.8,0.7000000000000001
2012_01,webber,0,0,0,0,0,1.0,1.0
2012_01,alonso,0,0,0,0,0,1.0,1.0
2012_01,kobayashi,1,0,0,1,0,0.8,0.75
2012_01,raikkonen,0,0,0,0,0,1.0,1.0
2012_01,perez,0,0,0,0,0,1.0,1.0
2012_01,ricciardo,1,0,1,0,0,0.8,0.7000000000000001
2012_01,resta,0,0,0,0,0,1.0,1.0
2012_01,vergne,0,0,0,0,0,1.0,1.0
2012_01,rosberg,0,0,0,0,0,1.0,1.0
2012_01,maldonado,3,0,2,0,0,0.4,0.2
2012_01,glock,2,0,0,1,0,0.6,0.5499999999999999
2012_01,pic,0,0,0,0,0,1.0,1.0
