race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2012_02,pic,21,0.0,0,0.0
2012_02,karthikeyan,15,0.0,0,0.0
2012_02,rosa,22,0.0,0,0.0
2012_02,kobayashi,6,8.0,0,8.0
2012_02,grosjean,13,0.0,0,0.0
2012_03,rosberg,24,0.0,0,0.0
2012_03,button,3,25.0,1,35.0
2012_03,hamilton,2,30.0,0,30.0
2012_03,webber,4,24.0,0,24.0
2012_03,vettel,6,18.0,0,18.0
2012_03,grosjean,16,0.0,0,0.0
2012_03,bruno_senna,8,8.0,0,8.0
2012_03,maldonado,19,0.0,0,0.0
2012_03,alonso,1,35.0,1,45.0
2012_03,kobayashi,9,8.0,0,8.0
2012_03,perez,5,22.0,0,22.0
2012_03,resta,10,7.0,0,7.0
2012_03,massa,20,0.0,0,0.0
2012_03,raikkonen,7,16.0,0,16.0
2012_03,hulkenberg,12,2.0,0,2.0
2012_03,vergne,11,4.0,0,4.0
2012_03,ricciardo,13,2.0,0,2.0
2012_03,petrov,21,0.0,0,0.0
2012_03,glock,15,0.0,0,0.0
2012_03,pic,22,0.0,0,0.0
2012_03,rosa,23,0.0,0,0.0
2012_03,karthikeyan,17,0.0,0,0.0
2012_03,kovalainen,18,0.0,0,0.0
2012_03,michael_schumacher,14,1.0,0,1.0
2012_04,vettel,5,28.0,0,28.0
2012_04,raikkonen,8,16.0,0,16.0
2012_04,grosjean,11,8.0,0,8.0
2012_04,webber,4,36.0,0,36.0
2012_04,rosberg,6,25.0,1,35.0
2012_04,resta,12,7.0,0,7.0
2012_04,alonso,3,37.0,1,47.0
2012_04,hamilton,1,45.0,0,45.0
2012_04,massa,21,0.0,0,0.0
2012_04,michael_schumacher,17,1.0,0,1.0
2012_04,perez,7,22.0,0,22.0
2012_04,hulkenberg,15,2.0,0,2.0
2012_04,kobayashi,10,9.0,0,9.0
2012_04,vergne,14,4.0,0,4.0
2012_04,ricciardo,16,2.0,0,2.0
2012_04,petrov,22,0.0,0,0.0
2012_04,kovalainen,20,0.0,0,0.0
2012_04,button,2,43.0,1,53.0
2012_04,glock,18,0.0,0,0.0
2012_04,rosa,24,0.0,0,0.0
2012_04,karthikeyan,19,0.0,0,0.0
2012_04,bruno_senna,9,14.0,0,14.0
2012_04,maldonado,13,4.0,0,4.0
2012_04,pic,23,0.0,0,0.0
2012_05,maldonado,13,4.0,0,4.0
2012_05,alonso,4,43.0,1,53.0
2012_05,raikkonen,7,34.0,0,34.0
